Address,CaseNumber,CouncilDistrict,CrimeAgainst,CustomCrimeAgainst,CustomCrimeCategory,Neighborhood,OccurDate,OccurTime,OffenseCategory,OffenseCount,OffenseType,OpenDataLat,OpenDataLon,OpenDataX,OpenDataY,ReportDate,ReportMonthYear
,26-X6150003,3,Person,Person,Assault: Simple/Intimidation,Creston-Kenilworth,2/25/2026,347,Assault Offenses,1,Simple Assault,,,,,2/25/2026,February 2026
,26-X6150007,3,Person,Person,Assault: Simple/Intimidation,Rose City Park,2/25/2026,800,Assault Offenses,1,Intimidation,,,,,2/25/2026,February 2026
,26-X6150007,3,Property,Property,Vandalism,Rose City Park,2/25/2026,800,Vandalism,1,Vandalism,,,,,2/25/2026,February 2026
,26-X6150008,1,Property,Property,Larceny: Other,Lents,2/14/2026,1700,Larceny Offenses,1,All Other Larceny,,,,,2/14/2026,February 2026
,26-X6150012,2,Person,Person,Assault: Aggravated,Eliot,2/25/2026,1145,Assault Offenses,1,Aggravated Assault,,,,,2/25/2026,February 2026
,26-X6150110,3,Person,Person,Sex Offenses,Buckman West,2/25/2026,600,Sex Offenses,1,Sodomy,,,,,2/25/2026,February 2026
,26-X6150111,2,Person,Person,Assault: Aggravated,Boise,2/25/2026,2039,Assault Offenses,1,Aggravated Assault,,,,,2/25/2026,February 2026
,26-X6150111,2,Society,Society,Weapon Law Violations,Boise,2/25/2026,2039,Weapon Law Violations,1,Weapons Law Violations,,,,,2/25/2026,February 2026
,26-X6150118,1,Person,Person,Assault: Simple/Intimidation,Hazelwood,2/25/2026,2050,Assault Offenses,1,Simple Assault,,,,,2/25/2026,February 2026
,26-X6150359,3,Person,Person,Assault: Simple/Intimidation,South Tabor,2/26/2026,1527,Assault Offenses,1,Simple Assault,,,,,2/26/2026,February 2026
,26-X6150372,1,Person,Person,Assault: Simple/Intimidation,Parkrose,2/25/2026,2023,Assault Offenses,1,Simple Assault,,,,,2/25/2026,February 2026
,26-X6150376,3,Person,Person,Assault: Simple/Intimidation,Kerns,2/26/2026,313,Assault Offenses,1,Simple Assault,,,,,2/26/2026,February 2026
,26-X6150379,4,Person,Person,Assault: Simple/Intimidation,Downtown,2/26/2026,323,Assault Offenses,1,Simple Assault,,,,,2/26/2026,February 2026
,26-X6150380,1,Property,Property,Vandalism,Lents,2/17/2026,521,Vandalism,1,Vandalism,,,,,2/17/2026,February 2026
,26-X6150382,3,Person,Person,Assault: Simple/Intimidation,Hosford-Abernethy,2/26/2026,739,Assault Offenses,1,Simple Assault,,,,,2/26/2026,February 2026
,26-X6150384,4,Person,Person,Assault: Simple/Intimidation,Multnomah,2/26/2026,942,Assault Offenses,1,Intimidation,,,,,2/26/2026,February 2026
,26-X6150386,4,Person,Person,Assault: Aggravated,Downtown,2/26/2026,1120,Assault Offenses,1,Aggravated Assault,,,,,2/26/2026,February 2026
,26-X6150415,3,Person,Person,Assault: Simple/Intimidation,Foster-Powell,1/21/2026,1000,Assault Offenses,1,Intimidation,,,,,2/26/2026,February 2026
,26-X6150443,4,Person,Person,Sex Offenses,Northwest,2/26/2026,932,Sex Offenses,1,Rape,,,,,2/26/2026,February 2026
,26-X6150444,4,Person,Person,Sex Offenses,Downtown,1/1/2026,0,Sex Offenses,1,Rape,,,,,2/26/2026,February 2026
,26-X6150446,3,Person,Person,Sex Offenses,Mt Scott-Arleta,2/20/2026,1715,Sex Offenses,1,Fondling,,,,,2/20/2026,February 2026
,26-X6150447,3,Person,Person,Sex Offenses,Brentwood-Darlington,2/26/2026,1532,Sex Offenses,1,Fondling,,,,,2/26/2026,February 2026
,26-X6150449,1,Person,Person,Assault: Aggravated,Parkrose,2/23/2026,939,Assault Offenses,1,Aggravated Assault,,,,,2/24/2026,February 2026
,26-X6150600,2,Person,Person,Assault: Simple/Intimidation,Cully,2/26/2026,2039,Assault Offenses,1,Simple Assault,,,,,2/26/2026,February 2026
,26-X6150604,2,Person,Person,Assault: Simple/Intimidation,Portsmouth,2/27/2026,219,Assault Offenses,1,Simple Assault,,,,,2/27/2026,February 2026
,26-X6150672,4,Person,Person,Sex Offenses,Hayhurst,2/27/2026,636,Sex Offenses,1,Rape,,,,,2/27/2026,February 2026
,26-X6150926,1,Property,Property,Larceny: Other,Mill Park,1/10/2026,1522,Larceny Offenses,1,Purse-Snatching,,,,,1/10/2026,January 2026
,26-X6150947,1,Person,Person,Assault: Aggravated,Powellhurst-Gilbert,2/27/2026,859,Assault Offenses,1,Aggravated Assault,,,,,2/27/2026,February 2026
,26-X6150950,3,Person,Person,Assault: Simple/Intimidation,Madison South,2/27/2026,405,Assault Offenses,1,Simple Assault,,,,,2/27/2026,February 2026
,26-X6150950,3,Property,Property,Vandalism,Madison South,2/27/2026,405,Vandalism,1,Vandalism,,,,,2/27/2026,February 2026
,26-X6150961,3,Person,Person,Assault: Aggravated,Foster-Powell,2/25/2026,1020,Assault Offenses,1,Aggravated Assault,,,,,2/25/2026,February 2026
,26-X6150964,1,Person,Person,Sex Offenses,Pleasant Valley,2/21/2026,1509,Sex Offenses,1,Fondling,,,,,2/21/2026,February 2026
,26-X6150978,3,Person,Person,Sex Offenses,Richmond,2/27/2026,144,Sex Offenses,1,Rape,,,,,2/27/2026,February 2026
,26-X6150987,4,Property,Property,Larceny: Car Prowl - Other,Downtown,2/18/2026,1509,Larceny Offenses,1,Theft From Motor Vehicle,,,,,2/18/2026,February 2026
,26-X6151039,2,Property,Property,Larceny: Car Prowl - Other,Lloyd,2/27/2026,1730,Larceny Offenses,1,Theft From Motor Vehicle,,,,,2/27/2026,February 2026
,26-X6151048,1,Person,Person,Sex Offenses,Centennial,2/27/2026,1851,Sex Offenses,1,Fondling,,,,,2/27/2026,February 2026
,26-X6151067,1,Person,Person,Assault: Simple/Intimidation,Sumner,2/27/2026,2046,Assault Offenses,1,Simple Assault,,,,,2/27/2026,February 2026
,26-X6151126,4,Person,Person,Assault: Simple/Intimidation,South Portland,2/28/2026,51,Assault Offenses,1,Simple Assault,,,,,2/28/2026,February 2026
,26-X6151139,4,Person,Person,Sex Offenses,Forest Park,2/15/2026,2100,Sex Offenses,1,Statutory Rape,,,,,2/27/2026,February 2026
,26-X6151144,4,Person,Person,Assault: Aggravated,Northwest,2/27/2026,2342,Assault Offenses,1,Aggravated Assault,,,,,2/27/2026,February 2026
,26-X6151147,4,Person,Person,Assault: Simple/Intimidation,Old Town/Chinatown,2/27/2026,1535,Assault Offenses,1,Simple Assault,,,,,2/27/2026,February 2026
,26-X6151149,2,Person,Person,Assault: Simple/Intimidation,Cully,2/27/2026,1811,Assault Offenses,1,Simple Assault,,,,,2/27/2026,February 2026
,26-X6151213,4,Person,Person,Assault: Aggravated,Northwest,2/28/2026,244,Assault Offenses,1,Aggravated Assault,,,,,2/28/2026,February 2026
,26-X6151237,4,Person,Person,Assault: Simple/Intimidation,Collins View,2/28/2026,453,Assault Offenses,1,Simple Assault,,,,,2/28/2026,February 2026
,26-X6151300,1,Property,Property,Larceny: Car Prowl - Other,Wilkes,2/16/2026,1900,Larceny Offenses,1,Theft From Motor Vehicle,,,,,2/18/2026,February 2026
,26-X6151319,2,Person,Person,Assault: Simple/Intimidation,Arbor Lodge,2/27/2026,2200,Assault Offenses,1,Simple Assault,,,,,2/28/2026,February 2026
